Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -48, 201, -6, 33.0, 4-1, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -36, 227, -26, 32.7, 4-2, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -73, 149, 44, 33.5, 4-3, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -38, 220, 21, 32.8, 4-4, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -115, 215, -3, 32.8, 4-5, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -58, 205, -24, 32.9, 4-6, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -71, 154, 34, 33.5, 4-7, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -92, 201, -16, 33.0, 4-8, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -81, 210, -15, 32.9, 4-9, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -34, 231, -24, 32.7, 4-10, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -93, 183, -71, 33.2, 5-11, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, 50, 251, -164, 32.5, 5-12, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 93, 126, 8, 33.7, 5-13, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, -36, 224, -214, 32.8, 5-14, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 68, 215, -113, 32.8, 5-15, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -69, 109, -112, 33.9, 5-16, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -32, 179, -59, 33.2, 5-17, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, -85, 231, -168, 32.7, 5-18, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 100, 129, -69, 33.7, 5-19, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 43, 235, -156, 32.6, 5-20, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 107, 94, -33, 34.1, 5-21, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 41, 89, -23, 34.1, 5-22, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, -71, 225, -193, 32.7, 5-23, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, -102, 222, -190, 32.8, 5-24, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, 21, 267, -113, 32.3, 5-25, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -41, 233, -199, 32.7, 5-26, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -20, 152, -159, 33.5, 5-27, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 26, 234, -170, 32.7, 5-28, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -108, 235, -161, 32.6, 5-29, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, 71, 96, -8, 34.0, 5-30, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, 86, 145, -74, 33.5, 5-31, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -50, 194, 2, 33.1, 5-32, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, -107, 119, -97, 33.8, 5-33, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -107, 197, -26, 33.0, 5-34, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, 40, 247, -169, 32.5, 5-35, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, -50, 100, -132, 34.0, 5-36, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, 17, 109, 30, 33.9, 5-37, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 84, 178, -107, 33.2, 5-38, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 72, 221, -123, 32.8, 5-39, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, -116, 212, -3, 32.9, 5-40, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 122, 171, -4, 33.3, 5-41, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 15, 260, -105, 32.4, 5-42, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, 133, 136, -38, 33.6, 5-43, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 106, 134, -91, 33.7, 5-44, g_herba, Grass, 0-069-358-100, BORN, , , , , , 1
0, -21, 169, -41, 33.3, 5-45, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -66, 214, -27, 32.9, 5-46, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 124, 282, -156, 32.2, 5-47, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -22, 263, -224, 32.4, 5-48, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 17, 210, -82, 32.9, 5-49, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 94, 229, -140, 32.7, 5-50, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -26, 162, 54, 33.4, 5-51, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 9, 159, -147, 33.4, 6-52, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -58, 187, -3, 33.1, 6-53, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -126, 209, -64, 32.9, 6-54, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 133, 171, -109, 33.3, 6-55, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 89, 121, -46, 33.8, 6-56, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 134, 172, 0, 33.3, 6-57, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 42, 256, -115, 32.4, 6-58, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 45, 127, -62, 33.7, 6-59, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 19, 121, -49, 33.8, 6-60, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -120, 131, -105, 33.7, 6-61, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -33, 200, -181, 33.0, 6-62, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -102, 194, -48, 33.1, 6-63, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 3, 240, -202, 32.6, 6-64, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -23, 186, -60, 33.1, 6-65, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
