Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 26, 0, 8, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, -10, 0, -20, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, -2, 0, -24, 25.0, 2-3, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, -4, 0, -30, 25.0, 2-4, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, -20, 0, 1, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, 7, 0, 9, 25.0, 1-6, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -22, 0, -19, 25.0, 1-7, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -9, 0, 6, 25.0, 1-8, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 29, 0, -9, 25.0, 1-9, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 13, 0, -25, 25.0, 1-10, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -5, 0, 20, 25.0, 1-11, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 13, 0, -19, 25.0, 1-12, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 29, 0, 0, 25.0, 1-13, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 10, 0, 14, 25.0, 1-14, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -3, 0, 17, 25.0, 1-15, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -24, 0, -3, 25.0, 1-16, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 17, 0, -3, 25.0, 1-17, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -5, 0, -6, 25.0, 1-18, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 0, 0, 14, 25.0, 1-19, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -26, 0, -7, 25.0, 1-20, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 26, 0, -12, 25.0, 1-21, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -24, 0, -1, 25.0, 1-22, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 9, 0, 19, 25.0, 1-23, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 29, 0, -4, 25.0, 1-24, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -12, 0, -3, 25.0, 1-25, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 12, 0, -9, 25.0, 1-26, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -5, 0, -19, 25.0, 1-27, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -27, 0, -15, 25.0, 1-28, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -10, 0, -19, 25.0, 1-29, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 15, 0, 7, 25.0, 1-30, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -16, 0, 1, 25.0, 1-31, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 21, 0, -2, 25.0, 1-32, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 11, 0, 13, 25.0, 1-33, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 2, 0, -14, 25.0, 1-34, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -23, 0, 12, 25.0, 1-35, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
4, -5, 0, -19, 25.0, 1-27, g_bush, Bush, 0-067-358-000, DIED, 2-3, g_sheep, Sheep, 0-067-354-119, PREY
4, -4, 0, -20, 25.0, 2-3, g_sheep, Sheep, 0-067-354-119, EAT, 1-27, g_bush, Bush, 0-067-358-000, heMenjatPes=4.2 pes=84.4
10, 17, 0, -3, 25.0, 1-17, g_bush, Bush, 0-067-358-000, DIED, 2-1, g_sheep, Sheep, 0-067-354-119, PREY
10, 18, 0, -3, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, EAT, 1-17, g_bush, Bush, 0-067-358-000, heMenjatPes=4.1 pes=82.9
10, -12, 0, -3, 25.0, 1-25, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
10, -12, 0, -3, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-25, g_bush, Bush, 0-067-358-000, heMenjatPes=3.8 pes=77.1
11, -22, 0, -19, 25.0, 1-7, g_bush, Bush, 0-067-358-000, DIED, 2-2, g_sheep, Sheep, 0-067-354-119, PREY
11, -22, 0, -19, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, EAT, 1-7, g_bush, Bush, 0-067-358-000, heMenjatPes=4.1 pes=82.1
14, -10, 0, -19, 25.0, 1-29, g_bush, Bush, 0-067-358-000, DIED, 2-3, g_sheep, Sheep, 0-067-354-119, PREY
14, -9, 0, -20, 25.0, 2-3, g_sheep, Sheep, 0-067-354-119, EAT, 1-29, g_bush, Bush, 0-067-358-000, heMenjatPes=9.1 pes=84.4
20, -5, 0, -6, 25.0, 1-18, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
20, -5, 0, -6, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-18, g_bush, Bush, 0-067-358-000, heMenjatPes=7.6 pes=77.1
20, -27, 0, -15, 25.0, 1-28, g_bush, Bush, 0-067-358-000, DIED, 2-2, g_sheep, Sheep, 0-067-354-119, PREY
20, -25, 0, -14, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, EAT, 1-28, g_bush, Bush, 0-067-358-000, heMenjatPes=9.2 pes=82.1
22, 12, 0, -9, 25.0, 1-26, g_bush, Bush, 0-067-358-000, DIED, 2-1, g_sheep, Sheep, 0-067-354-119, PREY
22, 12, 0, -8, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, EAT, 1-26, g_bush, Bush, 0-067-358-000, heMenjatPes=9.3 pes=82.9
28, 2, 0, -14, 25.0, 1-34, g_bush, Bush, 0-067-358-000, DIED, 2-4, g_sheep, Sheep, 0-067-354-119, PREY
28, 1, 0, -14, 25.0, 2-4, g_sheep, Sheep, 0-067-354-119, EAT, 1-34, g_bush, Bush, 0-067-358-000, heMenjatPes=4.1 pes=82.3
30, -24, 0, -1, 25.0, 1-22, g_bush, Bush, 0-067-358-000, DIED, 2-2, g_sheep, Sheep, 0-067-354-119, PREY
30, -24, 0, -2, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, EAT, 1-22, g_bush, Bush, 0-067-358-000, heMenjatPes=13.2 pes=82.1
34, 13, 0, -19, 25.0, 1-12, g_bush, Bush, 0-067-358-000, DIED, 2-1, g_sheep, Sheep, 0-067-354-119, PREY
34, 13, 0, -19, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, EAT, 1-12, g_bush, Bush, 0-067-358-000, heMenjatPes=15.1 pes=82.9
37, -26, 0, -7, 25.0, 1-20, g_bush, Bush, 0-067-358-000, DIED, 2-3, g_sheep, Sheep, 0-067-354-119, PREY
37, -27, 0, -7, 25.0, 2-3, g_sheep, Sheep, 0-067-354-119, EAT, 1-20, g_bush, Bush, 0-067-358-000, heMenjatPes=16.3 pes=84.4
40, -24, 0, -3, 25.0, 1-16, g_bush, Bush, 0-067-358-000, DIED, 2-2, g_sheep, Sheep, 0-067-354-119, PREY
