Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 25, 0, -31, 25.0, 6-1, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -21, 0, -69, 25.0, 6-2, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -13, 0, -18, 25.0, 6-3, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -58, 0, 9, 25.0, 7-4, g_conill_vermell, Red rabbit, 0-067-650-510, BORN, , , , , , 1
0, -67, 0, -42, 25.0, 7-5, g_conill_vermell, Red rabbit, 0-067-650-510, BORN, , , , , , 1
0, -52, 0, -25, 25.0, 7-6, g_conill_vermell, Red rabbit, 0-067-650-410, BORN, , , , , , 1
0, -60, 0, -38, 25.0, 8-7, g_conill_blau, Blue rabbit, 0-067-350-110, BORN, , , , , , 1
0, -41, 0, -52, 25.0, 8-8, g_conill_blau, Blue rabbit, 0-067-350-210, BORN, , , , , , 1
0, 1, 0, -73, 25.0, 8-9, g_conill_blau, Blue rabbit, 0-067-350-110, BORN, , , , , , 1
0, 36, 0, 23, 25.0, 9-10, g_conill_groc, Yellow rabbit, 0-667-350-110, BORN, , , , , , 1
0, -57, 0, -25, 25.0, 9-11, g_conill_groc, Yellow rabbit, 0-667-350-110, BORN, , , , , , 1
0, 43, 0, -23, 25.0, 9-12, g_conill_groc, Yellow rabbit, 0-667-350-110, BORN, , , , , , 1
0, 34, 0, -50, 25.0, 10-13, g_conill_verd, Green rabbit, 0-067-350-110, BORN, , , , , , 1
0, -50, 0, 51, 25.0, 10-14, g_conill_verd, Green rabbit, 0-067-350-110, BORN, , , , , , 1
0, -10, 0, 65, 25.0, 10-15, g_conill_verd, Green rabbit, 0-067-350-110, BORN, , , , , , 1
0, 0, 0, -35, 25.0, 0-16, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -22, 0, -77, 25.0, 0-17, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -28, 0, -68, 25.0, 0-18, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -47, 0, -33, 25.0, 0-19, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 37, 0, 44, 25.0, 0-20, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -2, 0, 55, 25.0, 0-21, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -5, 0, 52, 25.0, 0-22, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 24, 0, 39, 25.0, 0-23, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
