Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 836, 94, -649, 34.1, 4-1, g_llop, Wolf, 0-069-354-240, BORN, , , , , , 1
0, 766, 158, -662, 33.4, 4-2, g_llop, Wolf, 0-069-354-240, BORN, , , , , , 1
0, 811, 76, -680, 34.2, 4-3, g_llop, Wolf, 0-069-354-240, BORN, , , , , , 1
0, 835, 98, -644, 34.0, 4-4, g_llop, Wolf, 0-069-354-240, BORN, , , , , , 1
0, 801, 98, -671, 34.0, 4-5, g_llop, Wolf, 0-069-354-140, BORN, , , , , , 1
0, 625, 106, -596, 33.9, 5-6, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 672, 114, -626, 33.9, 5-7, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 720, 107, -587, 33.9, 5-8, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 746, 185, -662, 33.1, 5-9, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 692, 115, -593, 33.8, 5-10, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 768, 152, -708, 33.5, 5-11, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 728, 161, -630, 33.4, 5-12, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 688, 160, -654, 33.4, 5-13, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 733, 147, -615, 33.5, 5-14, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 699, 126, -620, 33.7, 5-15, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 756, 119, -574, 33.8, 5-16, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 698, 175, -669, 33.2, 5-17, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 823, 69, -690, 34.3, 5-18, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 774, 105, -544, 33.9, 5-19, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 766, 92, -529, 34.1, 5-20, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 761, 107, -595, 33.9, 5-21, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 762, 74, -505, 34.3, 5-22, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 787, 107, -576, 33.9, 5-23, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 790, 113, -677, 33.9, 5-24, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 711, 122, -541, 33.8, 5-25, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 855, 121, -584, 33.8, 5-26, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 666, 133, -684, 33.7, 5-27, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 701, 151, -631, 33.5, 5-28, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 755, 173, -676, 33.3, 5-29, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 814, 82, -540, 34.2, 5-30, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 652, 119, -565, 33.8, 5-31, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 811, 84, -667, 34.2, 5-32, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 664, 80, -529, 34.2, 5-33, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 685, 148, -650, 33.5, 5-34, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 795, 78, -517, 34.2, 5-35, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 697, 117, -587, 33.8, 5-36, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 768, 77, -514, 34.2, 5-37, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 745, 133, -609, 33.7, 5-38, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 743, 189, -660, 33.1, 5-39, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 736, 139, -611, 33.6, 5-40, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 644, 125, -623, 33.7, 5-41, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 720, 120, -561, 33.8, 5-42, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 786, 74, -512, 34.3, 5-43, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 707, 124, -570, 33.8, 5-44, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 746, 183, -690, 33.2, 5-45, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 773, 121, -626, 33.8, 5-46, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 821, 84, -606, 34.2, 5-47, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 792, 122, -658, 33.8, 5-48, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 790, 126, -658, 33.7, 5-49, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 756, 144, -627, 33.6, 5-50, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 821, 84, -595, 34.2, 5-51, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 749, 165, -635, 33.3, 5-52, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 784, 94, -606, 34.1, 5-53, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 765, 108, -599, 33.9, 5-54, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 796, 102, -584, 34.0, 5-55, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 806, 95, -655, 34.0, 5-56, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 778, 145, -655, 33.5, 6-57, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 804, 85, -609, 34.1, 6-58, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 789, 124, -649, 33.8, 6-59, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 776, 109, -593, 33.9, 6-60, g_vaca, Cow, 0-069-354-212, BORN, , , , , , 1
0, 893, 47, -651, 34.5, 6-61, g_vaca, Cow, 0-069-354-212, BORN, , , , , , 1
0, 841, 64, -682, 34.4, 6-62, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 893, 27, -676, 34.7, 6-63, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
