Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -108, 181, 25, 33.2, 4-1, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -91, 212, -43, 32.9, 4-2, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -82, 216, -29, 32.8, 4-3, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -113, 193, 17, 33.1, 4-4, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -62, 152, 42, 33.5, 4-5, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -91, 212, -43, 32.9, 4-6, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -105, 194, -31, 33.1, 4-7, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -50, 202, -12, 33.0, 4-8, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -33, 235, 15, 32.6, 4-9, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -20, 254, -5, 32.5, 4-10, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -33, 177, -103, 33.2, 5-11, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -67, 172, 16, 33.3, 5-12, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -73, 182, 10, 33.2, 5-13, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -35, 191, -46, 33.1, 5-14, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -139, 238, -128, 32.6, 5-15, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -68, 236, -177, 32.6, 5-16, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 56, 269, -198, 32.3, 5-17, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -21, 216, -23, 32.8, 5-18, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 81, 146, -75, 33.5, 5-19, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 120, 177, -108, 33.2, 5-20, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 14, 163, -146, 33.4, 5-21, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -57, 204, -166, 33.0, 5-22, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 22, 192, -76, 33.1, 5-23, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -14, 187, -70, 33.1, 5-24, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -18, 162, -34, 33.4, 5-25, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -82, 154, 41, 33.5, 5-26, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 37, 239, -229, 32.6, 5-27, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -92, 203, -14, 33.0, 5-28, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 13, 130, 18, 33.7, 5-29, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 100, 88, -33, 34.1, 5-30, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 82, 117, 35, 33.8, 5-31, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -21, 233, 28, 32.7, 5-32, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -95, 176, -73, 33.2, 5-33, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 16, 117, -1, 33.8, 5-34, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -72, 157, 36, 33.4, 5-35, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 75, 109, 31, 33.9, 5-36, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 4, 271, -226, 32.3, 5-37, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -100, 197, -36, 33.0, 5-38, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 40, 200, -126, 33.0, 5-39, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 5, 153, -51, 33.5, 5-40, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -61, 138, 49, 33.6, 5-41, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -117, 212, -7, 32.9, 5-42, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -2, 150, -44, 33.5, 5-43, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 36, 128, -57, 33.7, 5-44, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -34, 239, 10, 32.6, 5-45, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -107, 223, -4, 32.8, 5-46, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -64, 166, 25, 33.3, 5-47, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -129, 247, -39, 32.5, 5-48, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -56, 190, -63, 33.1, 5-49, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -10, 245, -231, 32.5, 5-50, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -147, 232, -74, 32.7, 5-51, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -105, 114, -104, 33.9, 6-52, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, 78, 94, 0, 34.1, 6-53, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -129, 237, -19, 32.6, 6-54, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -94, 127, -100, 33.7, 6-55, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -9, 218, 13, 32.8, 6-56, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 51, 89, 11, 34.1, 6-57, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, -125, 197, -133, 33.0, 6-58, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 137, 251, -127, 32.5, 6-59, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -34, 169, 52, 33.3, 6-60, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 33, 71, 44, 34.3, 6-61, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 58, 203, -94, 33.0, 6-62, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 89, 213, -134, 32.9, 6-63, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 21, 233, -174, 32.7, 6-64, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, -9, 213, -90, 32.9, 6-65, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -69, 216, -57, 32.8, 6-66, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -24, 160, -162, 33.4, 6-67, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -11, 206, -185, 32.9, 6-68, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, 59, 135, -45, 33.6, 6-69, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 3, 154, -146, 33.5, 6-70, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, 103, 145, -99, 33.5, 6-71, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, -96, 150, -150, 33.5, 6-72, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 14, 169, -138, 33.3, 6-73, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, 48, 274, -181, 32.3, 6-74, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, 72, 140, -64, 33.6, 6-75, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -35, 237, 7, 32.6, 6-76, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, -61, 178, 10, 33.2, 6-77, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -6, 89, 76, 34.1, 6-78, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 141, 100, -73, 34.0, 6-79, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 68, 94, -5, 34.1, 6-80, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 36, 277, -94, 32.2, 6-81, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -54, 199, -59, 33.0, 6-82, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, -38, 168, -160, 33.3, 6-83, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -4, 194, -4, 33.1, 6-84, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 114, 133, -24, 33.7, 6-85, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -92, 146, -90, 33.5, 6-86, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -43, 224, -193, 32.8, 6-87, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 94, 128, 11, 33.7, 6-88, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 69, 264, -190, 32.4, 6-89, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -39, 222, -30, 32.8, 6-90, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -135, 213, -119, 32.9, 6-91, g_conill, White Rabbit, 0-069-350-210, BORN, , , , , , 1
0, 52, 218, -143, 32.8, 6-92, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 120, 253, -127, 32.5, 6-93, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 53, 97, -18, 34.0, 6-94, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 19, 59, 61, 34.4, 6-95, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 28, 258, -181, 32.4, 6-96, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -95, 224, 3, 32.8, 6-97, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -27, 165, 53, 33.3, 6-98, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -126, 211, -64, 32.9, 6-99, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -112, 190, 19, 33.1, 6-100, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -75, 224, -166, 32.8, 6-101, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 25, 87, 37, 34.1, 7-102, g_guineu, Fox, 0-069-352-210, BORN, , , , , , 1
0, -36, 190, -49, 33.1, 7-103, g_guineu, Fox, 0-069-352-210, BORN, , , , , , 1
0, -106, 177, -67, 33.2, 7-104, g_guineu, Fox, 0-069-352-210, BORN, , , , , , 1
0, 38, 266, -114, 32.3, 7-105, g_guineu, Fox, 0-069-352-210, BORN, , , , , , 1
0, -13, 235, -205, 32.6, 7-106, g_guineu, Fox, 0-069-352-210, BORN, , , , , , 1
