Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -60, 0, -22, 25.0, 4-1, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -15, 0, -125, 25.0, 4-2, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -48, 0, -110, 25.0, 4-3, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -121, 0, -20, 25.0, 4-4, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 62, 0, -35, 25.0, 4-5, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -10, 0, -90, 25.0, 4-6, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -80, 0, -27, 25.0, 4-7, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -75, 0, -43, 25.0, 4-8, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -51, 0, 31, 25.0, 4-9, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -13, 0, -21, 25.0, 4-10, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -65, 0, 3, 25.0, 4-11, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -10, 0, 23, 25.0, 4-12, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -104, 0, 6, 25.0, 4-13, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -84, 0, 37, 25.0, 4-14, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -7, 0, -104, 25.0, 4-15, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 18, 0, -76, 25.0, 4-16, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -37, 0, -44, 25.0, 4-17, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 19, 0, 9, 25.0, 4-18, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 49, 0, -61, 25.0, 4-19, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, 18, 0, -47, 25.0, 4-20, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -88, 0, 30, 25.0, 4-21, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -110, 0, -21, 25.0, 4-22, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -70, 0, -4, 25.0, 4-23, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 10, 0, -62, 25.0, 4-24, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -10, 0, -13, 25.0, 4-25, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -4, 0, -131, 25.0, 4-26, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 1, 0, -51, 25.0, 4-27, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, 28, 0, 0, 25.0, 4-28, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -49, 0, 52, 25.0, 4-29, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -29, 0, 51, 25.0, 4-30, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 14, 0, -11, 25.0, 4-31, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 29, 0, 23, 25.0, 4-32, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 18, 0, -7, 25.0, 4-33, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -89, 0, 5, 25.0, 4-34, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -69, 0, 49, 25.0, 4-35, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -40, 0, 37, 25.0, 4-36, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 20, 0, 3, 25.0, 4-37, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
0, -100, 0, -42, 25.0, 4-38, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -29, 0, 63, 25.0, 4-39, g_conill, White Rabbit, 0-067-350-010, BORN, , , , , , 1
