Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 12, 0, 11, 25.0, 4-1, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 54, 0, 6, 25.0, 4-2, g_conill, White Rabbit, 0-067-350-210, BORN, , , , , , 1
0, -9, 0, -9, 25.0, 4-3, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -11, 0, 59, 25.0, 4-4, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -121, 0, -46, 25.0, 4-5, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 67, 0, 1, 25.0, 4-6, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -66, 0, -99, 25.0, 4-7, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -7, 0, -16, 25.0, 4-8, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -14, 0, 21, 25.0, 4-9, g_conill, White Rabbit, 0-067-350-210, BORN, , , , , , 1
0, 35, 0, 17, 25.0, 4-10, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -3, 0, -76, 25.0, 4-11, g_conill, White Rabbit, 0-067-350-210, BORN, , , , , , 1
0, -63, 0, -2, 25.0, 4-12, g_conill, White Rabbit, 0-067-350-210, BORN, , , , , , 1
0, -17, 0, -51, 25.0, 4-13, g_conill, White Rabbit, 0-067-350-210, BORN, , , , , , 1
0, -39, 0, -108, 25.0, 4-14, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 22, 0, -34, 25.0, 4-15, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -45, 0, 26, 25.0, 4-16, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -63, 0, -57, 25.0, 4-17, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 41, 0, -25, 25.0, 4-18, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 14, 0, -86, 25.0, 4-19, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -65, 0, -72, 25.0, 4-20, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 23, 0, -47, 25.0, 4-21, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -113, 0, -61, 25.0, 4-22, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -46, 0, -30, 25.0, 4-23, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -69, 0, -73, 25.0, 4-24, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -22, 0, 5, 25.0, 4-25, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -104, 0, -80, 25.0, 4-26, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -60, 0, -14, 25.0, 4-27, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -106, 0, -26, 25.0, 4-28, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -31, 0, 7, 25.0, 4-29, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 14, 0, 23, 25.0, 4-30, g_conill, White Rabbit, 0-067-350-210, BORN, , , , , , 1
0, 59, 0, -25, 25.0, 4-31, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -105, 0, -60, 25.0, 4-32, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 11, 0, -97, 25.0, 4-33, g_conill, White Rabbit, 0-067-350-210, BORN, , , , , , 1
0, -39, 0, -25, 25.0, 4-34, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -69, 0, -23, 25.0, 4-35, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -31, 0, -24, 25.0, 4-36, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -47, 0, -109, 25.0, 4-37, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 15, 0, -87, 25.0, 4-38, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -6, 0, -50, 25.0, 4-39, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -79, 0, -59, 25.0, 4-40, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -58, 0, 32, 25.0, 4-41, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -43, 0, -93, 25.0, 4-42, g_conill, White Rabbit, 0-067-350-210, BORN, , , , , , 1
