Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 24, 0, -8, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, -8, 0, -1, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, 25, 0, -15, 25.0, 2-3, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, -25, 0, -17, 25.0, 2-4, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, 7, 0, 10, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, 16, 0, -10, 25.0, 1-6, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 12, 0, 23, 25.0, 1-7, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -10, 0, -29, 25.0, 1-8, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 13, 0, -17, 25.0, 1-9, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 4, 0, -13, 25.0, 1-10, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -8, 0, -19, 25.0, 1-11, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 8, 0, -11, 25.0, 1-12, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 22, 0, -20, 25.0, 1-13, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -8, 0, -27, 25.0, 1-14, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 28, 0, 2, 25.0, 1-15, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -6, 0, 26, 25.0, 1-16, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -6, 0, -2, 25.0, 1-17, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 3, 0, -16, 25.0, 1-18, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -11, 0, -10, 25.0, 1-19, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 9, 0, -28, 25.0, 1-20, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -4, 0, 13, 25.0, 1-21, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 10, 0, -26, 25.0, 1-22, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 28, 0, -13, 25.0, 1-23, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -4, 0, 1, 25.0, 1-24, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -27, 0, 6, 25.0, 1-25, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -9, 0, -20, 25.0, 1-26, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 0, 0, 21, 25.0, 1-27, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -7, 0, 9, 25.0, 1-28, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -10, 0, 25, 25.0, 1-29, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -2, 0, -9, 25.0, 1-30, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -7, 0, -28, 25.0, 1-31, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 12, 0, -25, 25.0, 1-32, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 26, 0, 2, 25.0, 1-33, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 7, 0, -17, 25.0, 1-34, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 9, 0, -3, 25.0, 1-35, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
