Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 52, 0, -33, 25.0, 4-1, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 38, 0, -23, 25.0, 4-2, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 50, 0, -27, 25.0, 4-3, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -22, 0, 36, 25.0, 4-4, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -108, 0, -7, 25.0, 4-5, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 19, 0, -58, 25.0, 4-6, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -69, 0, -80, 25.0, 4-7, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -76, 0, -87, 25.0, 4-8, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -79, 0, -30, 25.0, 4-9, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -42, 0, -44, 25.0, 4-10, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -10, 0, 24, 25.0, 4-11, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -57, 0, 4, 25.0, 4-12, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 75, 0, -35, 25.0, 4-13, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -120, 0, -46, 25.0, 4-14, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -112, 0, -65, 25.0, 4-15, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -7, 0, 50, 25.0, 4-16, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -75, 0, 40, 25.0, 4-17, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -56, 0, -53, 25.0, 4-18, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -3, 0, -132, 25.0, 4-19, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -43, 0, -87, 25.0, 4-20, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 58, 0, -51, 25.0, 4-21, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -34, 0, -38, 25.0, 4-22, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -57, 0, -75, 25.0, 4-23, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 17, 0, -55, 25.0, 4-24, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 7, 0, 17, 25.0, 4-25, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -57, 0, -67, 25.0, 4-26, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -74, 0, 43, 25.0, 4-27, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 19, 0, 36, 25.0, 4-28, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -49, 0, 60, 25.0, 4-29, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -54, 0, -57, 25.0, 4-30, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -45, 0, -80, 25.0, 4-31, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -89, 0, -46, 25.0, 4-32, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
