Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -34, 0, 43, 25.0, 4-1, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 12, 0, 17, 25.0, 4-2, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -7, 0, 61, 25.0, 4-3, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -8, 0, -29, 25.0, 4-4, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -96, 0, 18, 25.0, 4-5, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -32, 0, -64, 25.0, 4-6, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -37, 0, -89, 25.0, 4-7, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 35, 0, -59, 25.0, 4-8, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 73, 0, -44, 25.0, 4-9, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -120, 0, -40, 25.0, 4-10, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -67, 0, -40, 25.0, 4-11, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -39, 0, 7, 25.0, 4-12, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 63, 0, -68, 25.0, 4-13, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -63, 0, -95, 25.0, 4-14, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -52, 0, -117, 25.0, 4-15, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -73, 0, -112, 25.0, 4-16, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 47, 0, -96, 25.0, 4-17, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -3, 0, -11, 25.0, 4-18, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -99, 0, -28, 25.0, 4-19, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -3, 0, -53, 25.0, 4-20, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 12, 0, -6, 25.0, 4-21, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -107, 0, -2, 25.0, 4-22, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -27, 0, 39, 25.0, 4-23, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -52, 0, -62, 25.0, 4-24, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 8, 0, 52, 25.0, 4-25, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -17, 0, -55, 25.0, 4-26, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -106, 0, -41, 25.0, 4-27, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -62, 0, -12, 25.0, 4-28, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 15, 0, -12, 25.0, 4-29, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 43, 0, -70, 25.0, 4-30, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -111, 0, -59, 25.0, 4-31, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -25, 0, 39, 25.0, 4-32, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -59, 0, -11, 25.0, 4-33, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -22, 0, 43, 25.0, 4-34, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -63, 0, 46, 25.0, 4-35, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -46, 0, -92, 25.0, 4-36, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -95, 0, -39, 25.0, 4-37, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 12, 0, 6, 25.0, 4-38, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -24, 0, 40, 25.0, 4-39, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 57, 0, -59, 25.0, 4-40, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 24, 0, -82, 25.0, 4-41, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -93, 0, -106, 25.0, 4-42, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -95, 0, -99, 25.0, 4-43, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 7, 0, -117, 25.0, 4-44, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -85, 0, -42, 25.0, 4-45, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 7, 0, -3, 25.0, 4-46, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -46, 0, 29, 25.0, 4-47, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 12, 0, -38, 25.0, 4-48, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -81, 0, -57, 25.0, 4-49, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, 9, 0, 8, 25.0, 4-50, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , , 1
0, -32, 0, -36, 25.0, 5-51, g_guineu, Fox, 0-067-352-310, BORN, , , , , , 1
0, -21, 0, -42, 25.0, 5-52, g_guineu, Fox, 0-067-352-210, BORN, , , , , , 1
0, -20, 0, -45, 25.0, 5-53, g_guineu, Fox, 0-067-352-210, BORN, , , , , , 1
0, -18, 0, -34, 25.0, 5-54, g_guineu, Fox, 0-067-352-210, BORN, , , , , , 1
0, -28, 0, -36, 25.0, 5-55, g_guineu, Fox, 0-067-352-310, BORN, , , , , , 1
0, -29, 0, -33, 25.0, 5-56, g_guineu, Fox, 0-067-352-210, BORN, , , , , , 1
0, -32, 0, -32, 25.0, 6-57, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -31, 0, -30, 25.0, 6-58, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -19, 0, -41, 25.0, 6-59, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -19, 0, -34, 25.0, 6-60, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -28, 0, -31, 25.0, 6-61, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -25, 0, -45, 25.0, 6-62, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
